#,Lecture name,Word/ Expression,Phonetic,Korean,Vietnamese
1,50 pattern #1,"Once you see working software, you should feel better","wʌns juː siː ˈwɜːkɪŋ ˈsɒftweə, juː ʃʊd fiːl ˈbɛtə","일단 동작하는 소프트웨어를 보면, 기분이 나아질꺼야","Khi bạn thấy phần mềm làm việc, bạn sẽ cảm thấy tốt hơn"
2,50 pattern #1,I need to fix my issue as soon as possible,aɪ niːd tuː fɪks maɪ ˈɪʃuː æz suːn æz ˈpɒsəbᵊl,나는 이 이슈를 최대한 빨리 고쳤으면 해,Tôi cần khắc phục vấn đề của mình càng sớm càng tốt
3,50 pattern #1,I hope it rains all day long tomorrow,aɪ həʊp ɪt reɪnz ɔːl deɪ lɒŋ təˈmɒrəʊ,내일 하루종일 비가 왔으면 좋겠어,Tôi hy vọng trời mưa cả ngày vào ngày mai
4,50 pattern #1,Can I get you anything?,kæn aɪ ɡɛt juː ˈɛniθɪŋ?,뭐 좀 가져다 드릴까요?,Tôi có thể lấy gì cho bạn?
5,50 pattern #1,How many features did you code today?,haʊ ˈmɛni ˈfiːʧəz dɪd juː kəʊd təˈdeɪ?,얼마나 많은 기능을 오늘 만들었어요?,Bạn đã viết mã bao nhiêu tính năng hôm nay?
6,50 pattern #1,"If it is possible, I'd like to have a diet coke","ɪf ɪt ɪz ˈpɒsəbᵊl, aɪd laɪk tuː hæv ə ˈdaɪət kəʊk","가능하다면, 다이어트 콜라를 먹고 싶어요.","Nếu có thể, tôi muốn có một than cốc ăn kiêng"
7,50 pattern #1,Whose cellular phone is this anyway?,huːz ˈsɛljələ fəʊn ɪz ðɪs ˈɛniweɪ?,이 폰 누구꺼에요?,Dù sao đây là điện thoại di động của ai?
8,50 pattern #1,"Hey, what are you doing up there?","heɪ, wɒt ɑː juː ˈduːɪŋ ʌp ðeə?","저기요, 그 위에서 모하세요?","Này, bạn đang làm gì ở đó?"
9,50 pattern #1,"Who is that? To tell the truth, I like him.","huː ɪz ðæt? tuː tɛl ðə truːθ, aɪ laɪk hɪm.",저 사람 누구지? 사실대로 말해서 나는 저사람이 좋네,"Đó là ai? Nói thật, tôi thích anh ấy."
10,50 pattern #1,"One should keep one's promise, otherwise no one will trust him or her","wʌn ʃʊd kiːp wʌnz ˈprɒmɪs, ˈʌðəwaɪz nəʊ wʌn wɪl trʌst hɪm ɔː hɜː",사람은 약속을 지켜야해. 안그러면 아무도 믿지 않을거야,"Người ta nên giữ lời hứa của một người, nếu không sẽ không ai tin tưởng anh ta hoặc cô ta"
1,50 pattern #2,"Speaking of the frontend programming, this is my last one","ˈspiːkɪŋ ɒv ðə frontend ˈprəʊɡræmɪŋ, ðɪs ɪz maɪ lɑːst wʌn","프론트앤드 프로그래밍에 대해서 말하자면, 이것이 마지막이야","Nói về lập trình frontend, đây là lần cuối cùng của tôi"
2,50 pattern #2,Do you know how to code this?,duː juː nəʊ haʊ tuː kəʊd ðɪs?, 이거 어떻게 코딩해야 할지 알아요?,Bạn có biết cách viết mã này không?
3,50 pattern #2,I feel sick to my stomach,aɪ fiːl sɪk tuː maɪ ˈstʌmək,배가 아파요,tôi cảm thấy đau bụng
4,50 pattern #2,"Feel free to call me, whenever you have any issue.","fiːl friː tuː kɔːl miː, wɛˈnɛvə juː hæv ˈɛni ˈɪʃuː.",이슈가 있으면 언제든지 연락하세요.,"Hãy gọi cho tôi, bất cứ khi nào bạn có bất kỳ vấn đề."
5,50 pattern #2,"I have two coworkers, and both of them are sick. To make matters worse, our project deadline is this week.","aɪ hæv tuː ˌkəʊˈwɜːkəz, ænd bəʊθ ɒv ðɛm ɑː sɪk. tuː meɪk ˈmætəz wɜːs, ˈaʊə ˈprɒʤɛkt ˈdɛdlaɪn ɪz ðɪs wiːk.",동료가 두 명 있는데요. 둘다 아파요. 설상가상으로 프로젝트 데드라인이 이번주에요,"Tôi có hai đồng nghiệp, và cả hai đều bị bệnh. Để làm cho vấn đề tồi tệ hơn, thời hạn dự án của chúng tôi là trong tuần này."
6,50 pattern #2,How come you are not wearing team uniform today?,haʊ kʌm juː ɑː nɒt ˈweərɪŋ tiːm ˈjuːnɪfɔːm təˈdeɪ?,오늘 유니폼 안 입고 오면 어떻하니?,Tại sao hôm nay bạn không mặc đồng phục đội?
7,50 pattern #2,I have to make decision by 10:30,aɪ hæv tuː meɪk dɪˈsɪʒᵊn baɪ 10:30,나는 10:30까지 의사결정 해야해,Tôi phải đưa ra quyết định trước 10:30
8,50 pattern #2,How often do you play tennis?,haʊ ˈɒfᵊn duː juː pleɪ ˈtɛnɪs?,얼마나 자주 테니스를 치니?,Bạn có thường xuyên chơi quần vợt không?
