#,Lecture name,Word/ Expression,Phonetic,Korean,Vietnamese
1,Workplace Sentences 1,Put Something Off,pʊt ˈsʌmθɪŋ ɒf,무엇인가 꺼놓다,Trì hoãn
2,Workplace Sentences 1,"I put off writing the report until the last day, and now I have to work overtime to finish it!","aɪ pʊt ɒf ˈraɪtɪŋ ðə rɪˈpɔːt ənˈtɪl ðə lɑːst deɪ, ænd naʊ aɪ hæv tuː wɜːk ˈəʊvətaɪm tuː ˈfɪnɪʃ ɪt!","보고서 작성을 마지막 날로 미루고, 이제는 야근을 해야 끝납니다!",Tôi hoãn viết báo cáo cho đến hôm qua và giờ đây tôi phải làm thêm giờ để hoàn thành nó.
3,Workplace Sentences 1,Take Off,teɪk ɒf,급격히 인기를 얻다,Cất cánh (doanh số)
4,Workplace Sentences 1,Sales have really taken off this year and the company is making record profits.,seɪlz hæv ˈrɪəli ˈteɪkᵊn ɒf ðɪs jɪər ænd ðə ˈkʌmpəni ɪz ˈmeɪkɪŋ ˈrɛkɔːd ˈprɒfɪts.,올해 매출은 정말로 도약했고 회사는 기록적인 수익을 올리고 있습니다.,Doanh số thật sự tăng mạnh năm nay và công ty đã lập kỷ lục về lợi nhuận.
5,Workplace Sentences 1,People Person,ˈpiːpᵊl ˈpɜːsᵊn,사람,"Người giỏi ăn nói, giao tiếp"
6,Workplace Sentences 1,Ashley’s been promoted to director of human resources. She’ll do a great job – she’s a real people person.,ˈæʃliz biːn prəˈməʊtɪd tuː daɪˈrɛktər ɒv ˈhjuːmən rɪˈsɔːsɪz. ʃiːl duː ə ɡreɪt ʤɒb – ʃiːz ə rɪəl ˈpiːpᵊl ˈpɜːsᵊn.,애슐리는 인사 담당 이사로 승진했어요. 그녀는 정말 잘 할 거에요. 그녀는 진짜 사람이에요.,Ashley vừa được bổ nhiệm làm giám đốc nhân sự. Cô ấy làm việc đó rất giỏi - quả là một người giỏi giao tiếp.
7,Workplace Sentences 1,Crunch The Numbers,krʌnʧ ðə ˈnʌmbəz,계산을 하다,"Tính toán, phân tích lượng lớn dữ liệu bằng số"
8,Workplace Sentences 1,"After crunching the numbers, our accounting department informed us that we don’t have enough money to buy the new equipment.","ˈɑːftə ˈkrʌnʧɪŋ ðə ˈnʌmbəz, ˈaʊər əˈkaʊntɪŋ dɪˈpɑːtmənt ɪnˈfɔːmd ʌs ðæt wiː dəʊnt hæv ɪˈnʌf ˈmʌni tuː baɪ ðə njuː ɪˈkwɪpmənt.",숫자를 확인한 후 회계 부서에서 새 장비를 구입할 돈이 충분하지 않다고 알려주었습니다.,"Sau khi tính toán, bộ phân kế toán thông báo chúng ta không đủ tiền để mua thiết bị mới."
9,Workplace Sentences 1,Have A Lot On Your Plate,hæv ə lɒt ɒn jɔː pleɪt,처리할 일이 많다,Nhiều việc phải làm
10,Workplace Sentences 1,Sorry I didn’t call you back sooner; I have a lot on my plate right now.,ˈsɒri aɪ dɪdnt kɔːl juː bæk ˈsuːnə; aɪ hæv ə lɒt ɒn maɪ pleɪt raɪt naʊ.,"미안해요, 제가 지금 해야 할 일이 많아서 전화를 못 드렸어요.","Xin lỗi vì đã không gọi lại sớm hơn, hiện tôi đang có khá nhiều việc phải làm."
1,Workplace Sentences 2,Selling Like Hotcakes,ˈsɛlɪŋ laɪk hɒt keɪks,불티나게 팔리다,Bán chạy như tôm tươi
2,Workplace Sentences 2,The new product is selling like hotcakes. We’ll need to produce more to keep up with the demand!,ðə njuː ˈprɒdʌkt ɪz ˈsɛlɪŋ laɪk hɒt keɪks. wiːl niːd tuː prəˈdjuːs mɔː tuː kiːp ʌp wɪð ðə dɪˈmɑːnd!,그 신제품은 날개 돋친 듯 팔리고 있습니다. 우리는 수요를 따라잡기 위해 더 많은 제품을 생산해야 할 것입니다!,Sản phẩm mới bán chạy như tôm tươi. Chúng ta cần sản xuất thêm để đáp ứng nhu cầu.
3,Workplace Sentences 2,Think Outside The Box,θɪŋk ˌaʊtˈsaɪd ðə bɒks,새로운 관점에서 생각하다,Tư duy đột phá
