word/expression,Phonetic,Korean,Vietnamese,example,meanimg-VI,meanimg-KR,Type
Noun,,,,,,,
Stack,stæk,기술 스택,Stack,"To recruit the best fit developer, specify the technology stack of the service on the open position page.","Để tuyển dụng nhà phát triển phù hợp nhất, chỉ định ngăn xếp công nghệ của dịch vụ trên trang vị trí mở.","가장 적합한 개발자를 찾으려면, 구인 공고 페이지에 
 기술 스택을 명시해주세요.",Noun
Full-Stack,fʊl-stæk,풀스택,Full-Stack,I've become a full-stack developer due to the lack of developers on the team.,Tôi đã trở thành một nhà phát triển đầy đủ do thiếu nhà phát triển trong nhóm.,팀에 개발자가 부족해서 풀스택 개발자가 되었습니다.,Noun
Headless,ˈhɛdləs,헤드리스,Không đầu,A headless browser is a web browser that has no graphical user interface.,Trình duyệt không đầu là trình duyệt web không có giao diện người dùng đồ họa.,"헤드리스 브라우저는 그래픽 유저 인터페이스가 없는 
 웹 브라우저 입니다.",Noun
Variable,ˈveərɪəbᵊl,변수,Biến,Declare an integer variable containing the number of participants.,Tuyên bố một biến số nguyên chứa số lượng người tham gia.,참가자 수를 담는 정수 변수를 선언하세요.,Noun
Constant,ˈkɒnstᵊnt,상수,hằng số,This is a constant which cannot be reassigned.,Đây là một hằng số không thể được chỉ định lại.,이것은 상수로 다시 할당될 수 없습니다.,Noun
Function,ˈfʌŋkʃᵊn,함수,chức năng,The function returns an integer.,Hàm trả về một số nguyên.,이 함수는 정수를 반환합니다.,Noun
Class,klɑːs,클래스,lớp,The code defining the class is too complicated to understand.,Mã xác định lớp quá phức tạp để hiểu.,클래스를 정의하는 코드가 이해하기 너무 어렵습니다.,Noun
Type,taɪp,"타입, 자료형",Loại,"A string is a data type which is made up of ordered sequesnces of characters like ""GeekHaus"".","Một chuỗi là một kiểu dữ liệu được tạo thành từ các chuỗi các ký tự được đặt hàng như ""Geekhaus"".","문자열은 ""GeekHaus""처럼 순서가 있는 문자의 나열로 구성되는 데이터 타입입니다.",Noun
Array,əˈreɪ,배열,dãy,You can store a fixed-size collection of data in an array.,Bạn có thể lưu trữ một bộ sưu tập dữ liệu có kích thước cố định trong một mảng.,"배열에는 고정된 크기의 데이터 컬렉션을 저장할 수 
 있습니다.",Noun
Debugging,diːˈbʌɡɪŋ,디버깅,gỡ lỗi,This screen shows system logs that help with debugging.,Màn hình này hiển thị nhật ký hệ thống giúp gỡ lỗi.,이 스크린은 디버깅을 돕는 시스템 로그를 보여줍니다.,Noun
Legacy System,ˈlɛɡəsi ˈsɪstəm,레거시 시스템,hệ thống kế thừa,We have to replace the legacy system by July as part of the integration process.,Chúng tôi phải thay thế hệ thống kế thừa vào tháng 7 như một phần của quy trình tích hợp.,"통합 프로세스의 일부로, 레거시 시스템을 7월까지 
 교체해야 합니다.",Noun
