word/expression,Phonetic,Korean,Vietnamese,example,meanimg-VI,meanimg-KR,Type
Noun,,,,,,,
User Interface (UI),ˈjuːzər ˈɪntəˌfeɪs (juː-aɪ),사용자 인터페이스 (UI),Giao diện người dùng (UI),The user interface of the app is too complicated,Giao diện người dùng của ứng dụng quá phức tạp,앱의 유저 인터페이스가 너무 복잡합니다.,Noun
Front-End,frʌnt-ɛnd,프론트 엔드,Front-End,The front-end developer is fixing miscellaneous bugs.,Nhà phát triển Front-end đang sửa lỗi linh tinh.,프론트엔드 개발자가 자잘한 버그를 고치고 있습니다.,Noun
Back -End,bæk -ɛnd,뒤로 -엔드,Back -End,"Back-End, which is also called server-side, is like the brain of web services.","Back-end, còn được gọi là phía máy chủ, giống như bộ não của các dịch vụ web.","서버 사이드라고도 불리는 백엔드는 웹 서비스의 
 뇌와 같습니다.",Noun
DevOps,de'vɒps,DevOps,DevOps,DevOps engineers need to ensure that the software will work across a variety of platforms.,Các kỹ sư của DevOps cần đảm bảo rằng phần mềm sẽ hoạt động trên nhiều nền tảng khác nhau.,데브옵스 엔지니어는 소프트웨어가 다양한 플랫폼에서 작동하도록 해야 합니다.,Noun
Backlog,ˈbæklɒɡ,백 로그,Đang tải...,There are massive backlogs we have to handle by this week.,Có những tồn đọng lớn mà chúng tôi phải xử lý trong tuần này.,이번 주까지 처리해야 하는 엄청난 백로그가 있습니다.,Noun
Agile Software Development,ˈæʤaɪl ˈsɒftweə dɪˈvɛləpmənt,민첩한 소프트웨어 개발,Phát triển phần mềm Agile,Agile Software Development refers to a software development methodology based on iterative development.,Phát triển phần mềm Agile đề cập đến một phương pháp phát triển phần mềm dựa trên sự phát triển lặp đi lặp lại.,"애자일 소프트웨어 개발은 반복적인 개발에 기반한 
 소프트웨어 개발 방법론을 의미합니다.",Noun
Sprint,sprɪnt,스프린트,Sprint,The team is shipping more predictable and consistent products after implementing the sprints.,Nhóm nghiên cứu đang vận chuyển nhiều sản phẩm có thể dự đoán được và nhất quán sau khi triển khai chạy nước rút.,"팀은 스프린트를 도입한 후 더 예측 가능하고 
 일관된 프로덕트를 제공하고 있습니다.",Noun
Build,bɪld,짓다,Bản dựng,We've found a lot of bugs in this build.,Chúng tôi đã tìm thấy rất nhiều lỗi trong bản dựng này.,이 빌드에서 많은 버그를 발견했습니다.,Noun
Library,ˈlaɪbrᵊri,도서관,Thư viện,It is a deprecated library,Nó là một thư viện không dùng nữa,더 이상 사용을 권장하지 않는 라이브러리입니다.,Noun
MVP (Minimum Viable Product),ɛm-viː-piː (ˈmɪnɪməm ˈvaɪəbᵊl ˈprɒdʌkt),MVP (최소 실행 가능한 제품),MVP (sản phẩm khả thi tối thiểu),Build an MVP fast and get your idea reviewed.,Xây dựng MVP nhanh và nhận được ý tưởng của bạn được xem xét.,"MVP를 빠르게 만들고, 아이디어를 검증 받으세요.",Noun
SaaS (Software as a Service),SaaS (ˈsɒftweər æz ə ˈsɜːvɪs),SaaS (서비스로서 소프트웨어),SaaS (phần mềm như một dịch vụ),The number of SaaS startup is skyrocketing nowadays.,Số lượng khởi động SaaS ngày nay tăng vọt.,요즘 SaaS 스타트업 수가 급증하고 있습니다.,Noun
UX (User Experience),juː-ɛks (ˈjuːzər ɪkˈspɪəriəns),UX (사용자 경험),UX (Trải nghiệm người dùng),UX plays a key role in attracting users.,UX đóng một vai trò quan trọng trong việc thu hút người dùng.,"사용자 경험은 더 많은 유저를 끌어모으기 위한 핵심적인
  역할을 합니다.",Noun
Google,ˈɡuːɡᵊl,Google,Google,I have worked at Google since 2018.,Tôi đã làm việc tại Google từ năm 2018.,저는 2018년부터 구글에서 일해 왔습니다.,Noun
,,,,,,,
Verb,,,,,,,
Look over,lʊk ˈəʊvə,살펴보세요,Nhìn qua,Let me look over the pull request.,Hãy để tôi xem qua yêu cầu kéo.,풀 리퀘스트를 살펴볼게,Verb
Go over,ɡəʊ ˈəʊvə,가라,Đi qua,I went over the code thoroughly.,Tôi đã vượt qua mã hoàn toàn.,코드를 꼼꼼히 확인했습니다.,Verb
Ask for,ɑːsk fɔː,요청하십시오,Hỏi về,Ask for the manager for confirmation.,Yêu cầu người quản lý để xác nhận.,확인 받으려면 매니저를 찾아주세요,Verb
